# shepherd-bench query trace v1 — GENERATED, COMMITTED, AND FIXED BEFORE THE RUN.
# Regenerate with: shepherd-bench gen-trace
# Derived purely from bench-contract.toml [fixture].seed = 20260816; no corpus needed.
# columns: idx <TAB> class <TAB> query <TAB> source
#   source = corpus row id (lexical classes) or centroid id (semantic class),
#   so any line can be checked by re-deriving the row it came from.
0	path_fragment	2025/media/tra	5107180
1	path_fragment	Pictures/scripts/han	8507415
2	prefix	IMG_20	5100997
3	infix	rch-v3	5030986
4	infix	e-draf	4729337
5	prefix	IMG_2026	3201937
6	prefix	presenta	4715126
7	prefix	dev	1609064
8	infix	acking.j	7216779
9	semantic	customer testing about system	152
10	prefix	video-v3	5269859
11	path_fragment	Pictures/2019/Pac	3131501
12	infix	-11-0	8725176
13	prefix	trans	771045
14	prefix	diagram-	9745818
15	infix	resourc	8530943
16	prefix	tracki	7935638
17	path_fragment	shared/docs	2755751
18	infix	020-11-1	4115917
19	semantic	pricing report about overview	2663
20	prefix	hotfix_r	6991298
21	infix	tfix-	398840
22	prefix	staging	8797495
23	infix	-draft	9497750
24	prefix	receipt	1418905
25	infix	-data-c	4607857
26	semantic	handover request about receipt	3962
27	prefix	aud	2193281
28	path_fragment	products/legal	5874114
29	path_fragment	2025/2021/pro	9318450
30	prefix	quar	5767872
31	prefix	templ	5560211
32	infix	ox_su	1619793
33	semantic	design sync about license	955
34	path_fragment	shared/legal/ses	9890892
35	prefix	Onboa	5936823
36	path_fragment	Documents/デザイン	2463055
37	infix	7 (copy	4579893
38	infix	atch.tx	1416317
39	prefix	Client	168907
40	infix	mate-s	9864901
41	path_fragment	quarterly/core/scr	4547563
42	prefix	bui	4951784
43	prefix	policy	6161038
44	semantic	index settings about pipeline	1217
45	prefix	build-	8185126
46	path_fragment	platform/tools	3391044
47	prefix	data-f	4320109
48	infix	7_638783	74122
49	infix	pload.	4550457
50	prefix	rec	8407156
51	infix	Kick	5922730
52	infix	rame-lic	7958485
53	infix	v8.jp	4910717
54	path_fragment	웹/resources	2770138
55	prefix	invoice	4500781
56	path_fragment	shared/lib/min	9880316
57	prefix	proje	5671804
